"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-03-31,"79602","TX","Abilene","Taylor","Abilene",5356,1154,0.00522648083623693,-0.00688468158347677,0.0276046304541407,8293
2016-03-31,"02140","MA","Boston","Middlesex","Cambridge",5357,2590,0,-0.0144596651445966,0.00232198142414861,5602
2016-03-31,"60178","IL","Chicago","De Kalb","Sycamore",5358,1402,-0.00355366027007818,0.0211216314639476,-0.0263888888888889,7354
2016-03-31,"52245","IA","Iowa City","Johnson","Iowa City",5359,1539,0.0178571428571429,0.0555555555555556,0.06875,7702
2016-03-31,"08105","NJ","Philadelphia","Camden","Camden",5360,1337,-0.0125553914327917,-0.0443173695496783,-0.011094674556213,6952
2016-03-31,"19107","PA","Philadelphia","Philadelphia","Philadelphia",5361,1673,0.00299760191846523,0.00843881856540084,0.0449718925671455,4697
2016-03-31,"06605","CT","Stamford","Fairfield","Bridgeport",5362,1625,0.0149906308557152,0.0239445494643982,0.0416666666666667,4280
2016-03-31,"01832","MA","Boston","Essex","Haverhill",5363,1693,0.00415183867141162,0.0217260108630054,0.0515527950310559,7548
2016-03-31,"63042","MO","St. Louis","Saint Louis","Hazelwood",5364,944,0.00212314225053079,-0.00211416490486258,-0.0257997936016512,6545
2016-03-31,"35022","AL","Birmingham","Jefferson","Bessemer",5365,1189,-0.00251677852348993,-0.0108153078202995,0.000841750841750842,8728
2016-03-31,"32751","FL","Orlando","Orange","Maitland",5366,1568,0.0077120822622108,0.0228310502283105,0.0717703349282297,9511
2016-03-31,"07621","NJ","New York","Bergen","Bergenfield",5367,2426,0.0116763969974979,0.0376390076988879,-0.00246710526315789,7088
2016-03-31,"70471","LA","New Orleans","Saint Tammany","Mandeville",5368,1969,0.00101677681748856,-0.00152129817444219,-0.00354251012145749,9059
2016-03-31,"95531","CA","Crescent City","Del Norte","Crescent City",5369,1453,0.00484094052558783,0.0304964539007092,0.0644688644688645,7745
2016-03-31,"32801","FL","Orlando","Orange","Orlando",5370,1508,0.00937081659973226,0.0161725067385445,0.0672328379334749,5885
2016-03-31,"30233","GA","Atlanta","Butts","Jackson",5371,998,0.00200803212851406,-0.001001001001001,-0.0138339920948617,9168
2016-03-31,"06067","CT","Hartford","Hartford","Rocky Hill",5372,1666,-0.00774270399047052,-0.0142011834319527,-0.0234466588511137,7423
2016-03-31,"50702","IA","Waterloo","Black Hawk","Waterloo",5373,893,-0.0132596685082873,-0.0165198237885463,0.0371660859465738,8853
2016-03-31,"54904","WI","Oshkosh","Winnebago","Oshkosh",5374,945,0.0373216245883644,0.0396039603960396,-0.0956937799043062,5146
2016-03-31,"65810","MO","Springfield","Greene","Springfield",5375,1239,-0.00401929260450161,-0.0135350318471338,-0.0166666666666667,7664
2016-03-31,"20601","MD","Washington","Charles","Waldorf",5376,1878,0.00481540930979133,0.0134916351861846,0.0251091703056769,9448
2016-03-31,"08876","NJ","New York","Somerset","Branchburg",5377,2177,0.00230202578268877,0.000919540229885057,0.0322427690848743,6796
2016-03-31,"90720","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Los Alamitos",5378,3205,0.00627943485086342,0.0174603174603175,0.0662009314703925,6525
2016-03-31,"22311","VA","Washington","Alexandria City","Alexandria",5379,2449,0.0024559967253377,-0.00285016286644951,-0.00285016286644951,2280
2016-03-31,"94703","CA","San Francisco","Alameda","Berkeley",5380,3352,-0.00593119810201661,0.00239234449760766,0.131667792032411,4910
2016-03-31,"20716","MD","Washington","Prince Georges","Bowie",5381,1948,0,0.00102774922918808,0.000513610683102209,7514
2016-03-31,"34470","FL","Ocala","Marion","Ocala",5382,892,0.0045045045045045,0.00904977375565611,0.0300230946882217,6656
2016-03-31,"98028","WA","Seattle","King","Kenmore",5383,2327,0.00735930735930736,0.0206140350877193,0.0843429636533085,7999
2016-03-31,"98520","WA","Aberdeen","Grays Harbor","Aberdeen",5384,815,0.00369458128078818,-0.00851581508515815,-0.0145102781136638,7902
2016-03-31,"19438","PA","Philadelphia","Montgomery","Harleysville",5385,1846,0.00217155266015201,-0.0144153764014949,-0.00752688172043011,7646
2016-03-31,"22556","VA","Washington","Stafford","Stafford",5386,1849,0.000541125541125541,0.00543773790103317,0.0148188803512623,8556
2016-03-31,"33477","FL","Miami-Fort Lauderdale","Palm Beach","Jupiter",5387,2462,0.00736497545008183,0.0348886086591005,0.112516945323091,11757
2016-03-31,"45405","OH","Dayton","Montgomery","Dayton",5388,660,0.0138248847926267,0.0248447204968944,-0.00602409638554217,6640
2016-03-31,"79603","TX","Abilene","Taylor","Abilene",5389,814,0.001230012300123,0.001230012300123,0.0277777777777778,7997
2016-03-31,"19007","PA","Philadelphia","Bucks","Bristol Township",5390,1477,-0.0006765899864682,-0.00404585300067431,-0.00404585300067431,6648
2016-03-31,"32952","FL","Melbourne","Brevard","Merritt Island",5391,1563,0.00579150579150579,0.017578125,0.112455516014235,9199
2016-03-31,"80215","CO","Denver","Jefferson","Lakewood",5392,2046,0.0174042764793635,0.0422822210901681,0.0573643410852713,6006
2016-03-31,"49534","MI","Grand Rapids","Kent","Walker",5393,1371,0.0394238059135709,0.0898251192368839,0.0855106888361045,6708
2016-03-31,"18505","PA","Scranton","Lackawanna","Scranton",5394,1133,-0.007011393514461,0.0708884688090737,0.25609756097561,6444
2016-03-31,"19803","DE","Philadelphia","New Castle","Wilmington",5395,1817,0.000550660792951542,-0.00764609503003823,0.0111296605453534,8265
2016-03-31,"45801","OH","Lima","Allen","Lima",5396,749,0,-0.00266311584553928,0,6973
2016-03-31,"04072","ME","Portland","York","Saco",5397,1381,-0.00288808664259928,-0.0156806842480399,-0.0396383866481224,6748
2016-03-31,"07076","NJ","New York","Union","Scotch Plains",5398,2445,0.011166253101737,0.0170549084858569,0.0607375271149675,7622
2016-03-31,"07112","NJ","New York","Essex","Newark",5399,1403,-0.00566973777462792,-0.0133614627285513,0.0263350402340892,4593
2016-03-31,"02048","MA","Providence","Bristol","Mansfield",5400,2207,-0.00135746606334842,0.0203421174294961,0.114083796062595,6988
2016-03-31,"37774","TN","Knoxville","Loudon","Loudon",5401,1138,0.00441306266548985,0.00976042590949423,0,12869
2016-03-31,"78133","TX","San Antonio","Comal","Canyon Lake",5402,1430,0.00140056022408964,-0.00556328233657858,0.062407132243685,7595
2016-03-31,"19971","DE","Salisbury","Sussex","Dewey Beach",5403,1690,0.00535395597858418,0.00535395597858418,-0.0441176470588235,3889
2016-03-31,"08859","NJ","New York","Middlesex","Madison Park",5404,2018,0.00648379052369077,0.016624685138539,0.014070351758794,6137
2016-03-31,"49770","MI",,"Emmet","Petoskey",5405,1307,0.0163297045101089,0.0514883346741754,0.0909849749582638,6322
2016-03-31,"53045","WI","Milwaukee","Waukesha","Brookfield",5406,2006,-0.0137659783677483,-0.0551106924163919,-0.0555555555555556,8051
2016-03-31,"77053","TX","Houston","Harris","Houston",5407,1243,0.0016116035455278,0,0.0392976588628763,8679
2016-03-31,"27312","NC","Durham","Chatham","Pittsboro",5408,1600,-0.00928792569659443,-0.0153846153846154,0.0471204188481675,6114
2016-03-31,"71109","LA","Shreveport","Caddo","Shreveport",5409,628,-0.0110236220472441,-0.0218068535825545,-0.0353302611367127,8137
